Product Name,Price,Rating,Reviews,Product Link,Image URL
JBL,,4.2,10200,https://www.amazon.com/JBL-Tune-Buds-Wireless-Cancelling/dp/B0C1QDNP2G/ref=sr_1_11?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-11,https://m.media-amazon.com/images/I/51e5NZdtmhL._AC_UY218_.jpg
Apple,,4.8,931,https://www.amazon.com/Apple-Headphones-Cancellation-Transparency-Personalized/dp/B0DGVT3T92/ref=sr_1_12?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-12,https://m.media-amazon.com/images/I/614HncE30VL._AC_UY218_.jpg
Apple AirPods Pro 3rd Gen - Right Replacement AirPod (A3063) - White (Renewed),,3.8,12,https://www.amazon.com/Apple-AirPods-Pro-3rd-Gen/dp/B0GP7L9HX6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-13,https://m.media-amazon.com/images/I/51OetQGk8XL._AC_UY218_.jpg
JBL,16678.99,4.2,13900,https://www.amazon.com/JBL-Tune-Flex-Wireless-Cancelling/dp/B0C1QDR7HP/ref=sr_1_14?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-14,https://m.media-amazon.com/images/I/51zOBaxnh1L._AC_UY218_.jpg
"Wireless Earbuds Pro 3, Bluetooth 5.3 Noise Cancelling Ear buds with ANC,Immersive Stereo Sound,ENC Clear Calls,30H Playtime,IPX5 Waterproof,Touch Control,In-Ear Headphones for iPhone/ Android (white)",11929.86,4.1,93,https://www.amazon.com/Pro-Cancelling-ANC-Waterproof-Headphones/dp/B0GSQX3TY6/ref=sr_1_15?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-15,https://m.media-amazon.com/images/I/51KugUVWPhL._AC_UY218_.jpg
"Wireless Earbuds for iPhone, 5.3 Bluetooth Headphones for Apple Earbuds Wireless, ENC Noise Cancelling 40Hrs Playback in Ear Air Buds Pods HiFi Bass for iPhone 17 16 15/iPad/PC/Laptop/Switch/White",4170.44,4.2,359,https://www.amazon.com/Wireless-Earbuds-Bluetooth-Headphones-Cancelling/dp/B0F98W66B7/ref=sr_1_16?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-16,https://m.media-amazon.com/images/I/51Xjq-hVVVL._AC_UY218_.jpg
"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Phones/Sports/Laptop, White",6674.38,4.4,58100,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B0FHWKYT89/ref=sr_1_19?dib=eyJ2IjoiMSJ9.SxbYxQwxcMGz5FBkqPtsh9NPt0nJO-9Ns-x6jYnA_U5uxaypG6VU6gte78rpu2rP3hhtRl9YknswvOtSIMUU7pAHHHlAYxGmRdKTPzF5Nl9FYetwl-huWuZusanDjnrR3pZjHkjZalEKZxCSAvJ2FaN0RevoQ0wdO731d8Fgluxdf24MjNZwHATG4lR9kBF-knDCBClmBc5-p5dheb4hakxeVnl8Euf0kCAtSe3pSFA.skft-zA5zI1rRNuz1FQDifMdnKwHzVdhw0MI-9G0q5Q&dib_tag=se&keywords=apple+airpods&qid=1782668807,https://m.media-amazon.com/images/I/61HyQ94QVGL._AC_UY218_.jpg
Beats,35539.18,4.2,32200,https://www.amazon.com/Beats-Fit-Pro-Cancelling-Built/dp/B09JL5CY5Z/ref=sr_1_20?dib=eyJ2IjoiMSJ9.SxbYxQwxcMGz5FBkqPtsh9NPt0nJO-9Ns-x6jYnA_U5uxaypG6VU6gte78rpu2rP3hhtRl9YknswvOtSIMUU7pAHHHlAYxGmRdKTPzF5Nl9FYetwl-huWuZusanDjnrR3pZjHkjZalEKZxCSAvJ2FaN0RevoQ0wdO731d8Fgluxdf24MjNZwHATG4lR9kBF-knDCBClmBc5-p5dheb4hakxeVnl8Euf0kCAtSe3pSFA.skft-zA5zI1rRNuz1FQDifMdnKwHzVdhw0MI-9G0q5Q&dib_tag=se&keywords=apple+airpods&qid=1782668807,https://m.media-amazon.com/images/I/51TUzSTqXEL._AC_UY218_.jpg
"Wireless Ear Buds Airpod Pro (2nd Generation), Bluetooth Headphones with Charging Case Included, Over 42 Hours of Battery Life, Effortless Setup for iOS/Android",11123.04,3.8,43,https://www.amazon.com/AOLBSPD-Pro-Generation-Headphones-Effortless/dp/B0H13ZPQXH/ref=sr_1_21?dib=eyJ2IjoiMSJ9.SxbYxQwxcMGz5FBkqPtsh9NPt0nJO-9Ns-x6jYnA_U5uxaypG6VU6gte78rpu2rP3hhtRl9YknswvOtSIMUU7pAHHHlAYxGmRdKTPzF5Nl9FYetwl-huWuZusanDjnrR3pZjHkjZalEKZxCSAvJ2FaN0RevoQ0wdO731d8Fgluxdf24MjNZwHATG4lR9kBF-knDCBClmBc5-p5dheb4hakxeVnl8Euf0kCAtSe3pSFA.skft-zA5zI1rRNuz1FQDifMdnKwHzVdhw0MI-9G0q5Q&dib_tag=se&keywords=apple+airpods&qid=1782668807,https://m.media-amazon.com/images/I/51ViVc2ctLL._AC_UY218_.jpg
Soundcore,6741.15,4.4,109100,https://www.amazon.com/Soundcore-Wireless-Bluetooth-Water-Resistant-Customization/dp/B0BTYCJXBK/ref=sr_1_22?dib=eyJ2IjoiMSJ9.SxbYxQwxcMGz5FBkqPtsh9NPt0nJO-9Ns-x6jYnA_U5uxaypG6VU6gte78rpu2rP3hhtRl9YknswvOtSIMUU7pAHHHlAYxGmRdKTPzF5Nl9FYetwl-huWuZusanDjnrR3pZjHkjZalEKZxCSAvJ2FaN0RevoQ0wdO731d8Fgluxdf24MjNZwHATG4lR9kBF-knDCBClmBc5-p5dheb4hakxeVnl8Euf0kCAtSe3pSFA.skft-zA5zI1rRNuz1FQDifMdnKwHzVdhw0MI-9G0q5Q&dib_tag=se&keywords=apple+airpods&qid=1782668807,https://m.media-amazon.com/images/I/41hED0cR6tL._AC_UY218_.jpg
"2 Pack-USB C Headphones for iPhone 17/16/15 Earbuds USB C Wired Earphones with Mic & Remote Control Noise Cancelling for iPhone 15, iPad Pro, Galaxy S23/S22/S21/S20/Ultra Note 10/20, Pixel 7/6/6a/5/4",4487.61,3.9,1100,https://www.amazon.com/Pack-USB-Headphones-Earbuds-Earphones-Cancelling/dp/B0DRDC2JGX/ref=sr_1_23?dib=eyJ2IjoiMSJ9.SxbYxQwxcMGz5FBkqPtsh9NPt0nJO-9Ns-x6jYnA_U5uxaypG6VU6gte78rpu2rP3hhtRl9YknswvOtSIMUU7pAHHHlAYxGmRdKTPzF5Nl9FYetwl-huWuZusanDjnrR3pZjHkjZalEKZxCSAvJ2FaN0RevoQ0wdO731d8Fgluxdf24MjNZwHATG4lR9kBF-knDCBClmBc5-p5dheb4hakxeVnl8Euf0kCAtSe3pSFA.skft-zA5zI1rRNuz1FQDifMdnKwHzVdhw0MI-9G0q5Q&dib_tag=se&keywords=apple+airpods&qid=1782668807,https://m.media-amazon.com/images/I/61fGxlVlLLL._AC_UY218_.jpg
